"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.178548912E2,4.082763352E1,-7.372996386E1,4.900425825E2,1.286900024E2,3.909999847E1,3.250000000E1,8.000000000E1
2.208519335E2,4.083035232E1,-7.372700840E1,5.220359518E2,1.313799896E2,3.890000153E1,3.400000000E1,8.500000000E1
2.218495243E2,4.083127546E1,-7.372600911E1,5.330337026E2,1.314100037E2,3.909999847E1,3.550000000E1,9.000000000E1
2.228505984E2,4.083221616E1,-7.372503078E1,5.420314339E2,1.318199921E2,3.859999847E1,3.300000000E1,8.600000000E1
2.238619636E2,4.083319789E1,-7.372408731E1,5.620291114E2,1.333099976E2,3.670000076E1,3.300000000E1,8.400000000E1
2.248608121E2,4.083420351E1,-7.372319656E1,5.860267765E2,1.335000000E2,3.570000076E1,3.550000000E1,8.200000000E1
2.258543603E2,4.083522824E1,-7.372234387E1,6.060244292E2,1.328300018E2,3.470000076E1,3.650000000E1,8.600000000E1
2.268505161E2,4.083627300E1,-7.372151121E1,6.360220573E2,1.327599945E2,3.409999847E1,3.350000000E1,8.100000000E1
2.288625628E2,4.083832263E1,-7.371981212E1,6.840173655E2,1.343199921E2,3.229999924E1,4.050000000E1,8.100000000E1
2.298577197E2,4.083942024E1,-7.371902942E1,7.140149272E2,1.345399933E2,3.089999962E1,4.550000000E1,8.300000000E1
2.318601028E2,4.084157795E1,-7.371758496E1,7.820101885E2,1.344599915E2,2.729999924E1,4.750000000E1,7.600000000E1
2.328634732E2,4.084288498E1,-7.371695624E1,8.280074619E2,1.367649841E2,2.510000038E1,4.950000000E1,7.200000000E1
2.458506802E2,4.086017232E1,-7.371876597E1,1.511977318E3,1.445899963E2,3.451000061E2,4.550000000E1,7.800000000E1
2.468436330E2,4.086144704E1,-7.371924575E1,1.569975299E3,1.434100037E2,3.447000122E2,4.500000000E1,7.900000000E1
2.498627846E2,4.086519489E1,-7.372125305E1,1.745969710E3,1.443699951E2,3.402999878E2,4.150000000E1,7.400000000E1
2.518576579E2,4.086760418E1,-7.372269474E1,1.863966207E3,1.424799957E2,3.380000000E2,4.850000000E1,7.600000000E1
2.558547032E2,4.087220589E1,-7.372766261E1,2.131960816E3,1.520999908E2,3.252999878E2,4.650000000E1,8.600000000E1
2.568579753E2,4.087338610E1,-7.372882174E1,2.201959366E3,1.529499969E2,3.248999939E2,4.200000000E1,7.500000000E1
2.578600545E2,4.087449264E1,-7.373009579E1,2.279958117E3,1.517899933E2,3.228999939E2,4.400000000E1,7.500000000E1
2.588672843E2,4.087551498E1,-7.373143212E1,2.345957056E3,1.526100006E2,3.207000122E2,4.750000000E1,7.400000000E1
2.628611217E2,4.087930880E1,-7.373726928E1,2.614953636E3,1.581100006E2,3.121000061E2,4.450000000E1,5.000000000E1
2.638527322E2,4.088007113E1,-7.373837267E1,2.655952909E3,1.534599915E2,3.121000061E2,4.300000000E1,4.300000000E1
2.648577381E2,4.088104829E1,-7.373962099E1,2.723951879E3,1.530199890E2,3.127000122E2,4.150000000E1,4.100000000E1
2.658671355E2,4.088188288E1,-7.374110308E1,2.769951243E3,1.535299988E2,3.122000122E2,4.850000000E1,4.500000000E1
2.668651540E2,4.088268260E1,-7.374266018E1,2.820950715E3,1.542099915E2,3.108999939E2,4.600000000E1,4.100000000E1
2.678608120E2,4.088337393E1,-7.374401168E1,2.874950262E3,1.513000031E2,3.097999878E2,4.950000000E1,4.300000000E1
2.688688334E2,4.088419871E1,-7.374538489E1,2.935949580E3,1.503899994E2,3.095000000E2,4.900000000E1,4.000000000E1
2.698668492E2,4.088513640E1,-7.374706688E1,2.994948877E3,1.538000031E2,3.091000061E2,4.300000000E1,3.700000000E1
2.708552390E2,4.088598029E1,-7.374855274E1,3.058948228E3,1.528000031E2,3.087999878E2,3.500000000E1,3.700000000E1
2.718669565E2,4.088679325E1,-7.375010415E1,3.120947673E3,1.521299896E2,3.083999939E2,3.450000000E1,3.700000000E1
2.738551325E2,4.088856556E1,-7.375317612E1,3.256946282E3,1.537899933E2,3.080000000E2,4.850000000E1,4.500000000E1
3.848551315E2,4.078872641E1,-7.391577213E1,3.821220794E3,1.786999969E2,2.248000031E2,4.900000000E1,4.300000000E1
3.878661832E2,4.078555574E1,-7.391930460E1,3.803228532E3,1.793899994E2,2.241000061E2,4.150000000E1,4.900000000E1
